0x00e19c78;
0x00e19c94;Forward
0x00e19cb8;<Sign:D> Forward
0x00e19cd0;<Sign:C> Back
0x00e19ce8;<Sign:D> OK <Sign:C> Back
0x00e19d10;Yen
0x00e19d20;sentence
0x00e19d30;both
0x00e19d40;10,000
0x00e19d50;100 million
0x00e19d5c;point
0x00e19d6c;sheets
0x00e19d7c;pieces
0x00e19d9c;Departure
0x00e19dbc;Possession money
0x00e19dcc;chip
0x00e19ddc;Twist
0x00e19df4;points
0x00e19e04;Fighting ball
0x00e19e14;Funds
0x00e19e24;Dojo Fund
0x00e19e3c;Possession P
0x00e19e4c;Medal
0x00e19e5c;
0x00e19e6c;Acquired P
0x00e19e7c;Taxi Pt
0x00e19e94;%2d points
0x00e19ea4;
0x00e19eb0;Fukubiki ticket
0x00e19ec8;Gion
0x00e19ed0;Rakuchu
0x00e19ed8;Rakuchu
0x00e19ee0;Skeleton
0x00e19ee8;Fushimi
0x00e19ef0;Tosa
0x00e19f14;
0x00e19f20;Virtue
0x00e19f30;Type
0x00e19f40;times
0x00e19f50;Saito
0x00e19f60;Ryoma
0x00e19f70;Haruka
0x00e19f7c;Hajime Saito
0x00e19f8c;Ryoma Sakamoto
0x00e19fa4;Haruka Sawamura
0x00e19fb4;Saito
0x00e19fd8;
0x00e19fe0;Saito
0x00e1a004;
0x00e1a030;Riku
0x00e1a040;Kaguya
0x00e1a050;faint
0x00e1a060;Poetry
0x00e1a070;Hinata Sakurasaki
0x00e1a088;Hinata
0x00e1a098;Annan
0x00e1a0a8;dog
0x00e1a0b0;Cat
0x00e1a0b8;Beans
0x00e1a0c0;Hoeta
0x00e1a0c8;Naotarou
0x00e1a0d8;
0x00e1a0e8;Tuna
0x00e1a0f0;
0x00e1a124;I don't have anything to use.
0x00e1a14c;What should I use?
0x00e1a164;Can I really use it?
0x00e1a18c;betting points
0x00e1a194;Dividend points
0x00e1a1ac;Deposit
0x00e1a1c0;Regards
0x00e1a1d0;Softly
0x00e1a1e0;Let's win!
0x00e1a1f0;Suddenly one pair!
0x00e1a208;I met you again
0x00e1a218;Nice to meet you
0x00e1a228;May a good bill come ...
0x00e1a240;This is ...! ??
0x00e1a258;This is the final win
0x00e1a270;I don't feel like winning ...
0x00e1a288;Everyone should get off
0x00e1a2a0;I'm out of luck ...
0x00e1a2b0;Come on!
0x00e1a2c0;Let's be careful ...
0x00e1a2d0;Good luck!
0x00e1a2e0;
0x00e1a2f0;It's a wait-and-see for the time being
0x00e1a308;Can you decide early?
0x00e1a320;It's perfect!
0x00e1a338;Leave early!
0x00e1a348;I'm a little worried ...
0x00e1a360;Escape but win
0x00e1a378;Kita!
0x00e1a388;Like!
0x00e1a398;Shit!
0x00e1a3a8;I did it!
0x00e1a3b8;sorry ...
0x00e1a3c8;
0x00e1a3d8;squeaky ... (tears)
0x00e1a3f0;Surprise Peach Tree Sansho Tree
0x00e1a408;It's hard!
0x00e1a418;Akimahende!
0x00e1a430;Great mess!
0x00e1a448;I wonder if I should get off ...
0x00e1a460;I was able to play a role!
0x00e1a470;I was able to play a role, but I'm weak ...
0x00e1a488;I got a strong role!
0x00e1a4a0;Not at all ...
0x00e1a4b8;Ageage ~
0x00e1a4c8;I made a mistake ...
0x00e1a5cc;.
0x00e1a5e0;.
0x00e1a5f0;?
0x00e1a5fc;
0x00e1a604;
0x00e1a620;
0x00e1a634;.
0x00e1a63c;
0x00e1a690;times
0x00e1a728;…
0x00e1a750;
0x00e1a78c;hour
0x00e1a794;hour
0x00e1a798;…
0x00e1a7a8;King Kazunoko
0x00e1a7b8;
0x00e1a7c8;Akinako
0x00e1a7d8;
0x00e1a7e8;Colonel Saxon
0x00e1a7f8;Machine gun subordinates
0x00e1a808;Matsukov @ Gifu
0x00e1a818;
0x00e1a828;Bercy
0x00e1a838;South
0x00e1a844;
0x00e1a84c;Harapeko weather
0x00e1a85c;Ashura Komachi
0x00e1a86c;Samurai Ondo
0x00e1a87c;Decorate your hometown with brocade
0x00e1a8b0;
0x00e1a8b8;God of excitement
0x00e1a8c8;Our signboard man
0x00e1a8d8;The man who changes the air
0x00e1a8e8;Jug
0x00e1a8f8;Tone deafness
0x00e1a900;Not challenged
0x00e1a924;Safe hand
0x00e1a934;Passionately fit hands
0x00e1a94c;sing
0x00e1a98c;
0x00e1a9bc;?
0x00e1a9dc;? ?? ?? ?? ??
0x00e1a9f8;
0x00e1a9fc;Tuna
0x00e1aa04;Squid
0x00e1aa0c;Flatfish
0x00e1aa18;Onikasago
0x00e1aa30;
0x00e1aa34;Conger eel
0x00e1aa4c;Great white shark
0x00e1aa5c;c
0x00e1aa60;
0x00e1aa68;Japanese spider crab
0x00e1aa78;octopus
0x00e1aa80;Umbrella
0x00e1aa88;Harisenbon
0x00e1aa9c;Crucian carp
0x00e1aaa4;Carp
0x00e1aaac;Nishikigoi
0x00e1aabc;fish
0x00e1aac0;
0x00e1aac8;Rainbow trout
0x00e1aad8;
0x00e1ab1c;Q
0x00e1ab24;Q
0x00e1ab5c;Shino
0x00e1ab68;
0x00e1ab70;…
0x00e1ab74;…
0x00e1ab7c;.
0x00e1ab94;.
0x00e1ab98;.
0x00e1aba0;.
0x00e1aba4;.
0x00e1abac;.
0x00e1abb4;.
0x00e1abc0;.
0x00e1abc4;.
0x00e1abc8;.
0x00e1abd0;.
0x00e1abd4;.
0x00e1abd8;.
0x00e1abe4;.
0x00e1abec;.
0x00e1abf4;.
0x00e1abf8;.
0x00e1ac00;
0x00e1ac20;
0x00e1ac74;End
0x00e1ac8c;
0x00e1ac90;
0x00e1ac98;Beginner
0x00e1aca0;Intermediate
0x00e1aca8;Advanced
At 0x00e1acb0;
0x00e1acf8;
0x00e1acfc;
0x00e1ad28;
0x00e1ad38;also
0x00e1ad3c;ー
0x00e1ad48;
0x00e1ad54;
0x00e1ad58;
0x00e1ad68;
0x00e1ad6c;also
0x00e1ad90;
0x00e1ad94;ー
0x00e1ad98;
0x00e1ada0;?
0x00e1adac;
0x00e1adb4;
0x00e1adbc;
0x00e1adc0;
0x00e1adcc;
0x00e1add4;ー
0x00e1adec;
0x00e1adf8;
0x00e1adfc;
0x00e1ae1c;
0x00e1ae24;
0x00e1ae2c;
0x00e1ae44;
0x00e1ae4c;
0x00e1ae58;
0x00e1ae60;also
0x00e1ae70;?
0x00e1ae80;store
0x00e1ae84;store
0x00e1ae8c;store
0x00e1ae98;store
0x00e1aeb0;point
0x00e1aec0;
0x00e1aec8;
0x00e1aed0;
0x00e1aef0;
0x00e1aef8;Character padding
0x00e1af10;
0x00e1af18;
At 0x00e1af20;
0x00e1af28;and
0x00e1af30;
To 0x00e1af38;
0x00e1af40;
0x00e1af48;
To 0x00e1af50;
0x00e1af58;also
0x00e1af60;
0x00e1af68;
0x00e1af70;pair
0x00e1af78;Wind
0x00e1af80;style
0x00e1afc8;Poker
